!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E12'  TableTitle=''  Document='MGluR'														
!TimePoint	!Time	>Y8	SD_Y8	>Y10	SD_Y10										
E12T200	200	0.84766	0.033535	0.86982	0.03794						101				
	201	0.85019	0.033254	0.87182	0.037607										
	202	0.85267	0.032974	0.8738	0.037275										
	203	0.85512	0.032693	0.87574	0.036944										
	204	0.85752	0.032413	0.87766	0.036615										
	205	0.85988	0.032133	0.87954	0.036287										
	206	0.8622	0.031854	0.88139	0.03596										
	207	0.86448	0.031575	0.88322	0.035636										
	208	0.86673	0.031296	0.88501	0.035313										
	209	0.86894	0.031018	0.88678	0.034991										
	210	0.87111	0.030741	0.88852	0.034671										
	211	0.87324	0.030464	0.89023	0.034353										
	212	0.87534	0.030188	0.89192	0.034036										
	213	0.8774	0.029913	0.89358	0.033721										
	214	0.87943	0.029639	0.89521	0.033408										
	215	0.88142	0.029365	0.89682	0.033097										
	216	0.88338	0.029093	0.89841	0.032787										
	217	0.88531	0.028822	0.89996	0.03248										
	218	0.88721	0.028551	0.9015	0.032174										
	219	0.88907	0.028282	0.90301	0.031869										
	220	0.8909	0.028014	0.90449	0.031567										
	221	0.89271	0.027747	0.90596	0.031267										
	222	0.89448	0.027481	0.9074	0.030968										
	223	0.89622	0.027216	0.90882	0.030672										
	224	0.89793	0.026953	0.91021	0.030377										
	225	0.89962	0.026691	0.91159	0.030084										
	226	0.90127	0.026431	0.91294	0.029793										
	227	0.9029	0.026171	0.91427	0.029504										
	228	0.9045	0.025913	0.91558	0.029217										
	229	0.90608	0.025657	0.91687	0.028932										
	230	0.90763	0.025402	0.91814	0.028649										
	231	0.90915	0.025148	0.91939	0.028368										
	232	0.91065	0.024896	0.92062	0.028089										
	233	0.91212	0.024646	0.92184	0.027812										
	234	0.91356	0.024397	0.92303	0.027537										
	235	0.91499	0.024149	0.9242	0.027264										
	236	0.91639	0.023903	0.92536	0.026993										
	237	0.91776	0.023659	0.9265	0.026724										
	238	0.91912	0.023416	0.92762	0.026457										
	239	0.92045	0.023175	0.92872	0.026192										
	240	0.92176	0.022935	0.92981	0.025929										
	241	0.92304	0.022698	0.93088	0.025668										
	242	0.92431	0.022461	0.93193	0.025409										
	243	0.92555	0.022227	0.93297	0.025152										
	244	0.92678	0.021994	0.93399	0.024897										
	245	0.92798	0.021763	0.93499	0.024644										
	246	0.92916	0.021533	0.93598	0.024393										
	247	0.93033	0.021306	0.93695	0.024144										
	248	0.93147	0.02108	0.93791	0.023897										
	249	0.93259	0.020855	0.93886	0.023652										
	250	0.9337	0.020633	0.93979	0.02341										
	251	0.93479	0.020412	0.9407	0.023169										
	252	0.93586	0.020193	0.9416	0.02293										
	253	0.93691	0.019975	0.94249	0.022693										
	254	0.93795	0.01976	0.94336	0.022458										
	255	0.93896	0.019546	0.94422	0.022225										
	256	0.93996	0.019334	0.94507	0.021994										
	257	0.94095	0.019123	0.9459	0.021765										
	258	0.94191	0.018914	0.94672	0.021538										
	259	0.94287	0.018707	0.94753	0.021313										
	260	0.9438	0.018502	0.94832	0.021089										
	261	0.94472	0.018299	0.94911	0.020868										
	262	0.94563	0.018097	0.94988	0.020649										
	263	0.94652	0.017897	0.95064	0.020432										
	264	0.94739	0.017699	0.95138	0.020216										
	265	0.94825	0.017502	0.95212	0.020003										
	266	0.9491	0.017308	0.95284	0.019791										
	267	0.94993	0.017115	0.95356	0.019581										
	268	0.95075	0.016923	0.95426	0.019373										
	269	0.95156	0.016734	0.95495	0.019167										
	270	0.95235	0.016546	0.95563	0.018963										
	271	0.95313	0.01636	0.9563	0.018761										
	272	0.95389	0.016175	0.95696	0.018561										
	273	0.95464	0.015992	0.95761	0.018362										
	274	0.95539	0.015811	0.95825	0.018165										
	275	0.95611	0.015632	0.95888	0.017971										
	276	0.95683	0.015454	0.9595	0.017777										
	277	0.95753	0.015278	0.96011	0.017586										
	278	0.95823	0.015104	0.96072	0.017397										
	279	0.95891	0.014931	0.96131	0.017209										
	280	0.95958	0.01476	0.96189	0.017023										
	281	0.96024	0.014591	0.96246	0.016839										
	282	0.96089	0.014423	0.96303	0.016656										
	283	0.96152	0.014257	0.96359	0.016476										
	284	0.96215	0.014093	0.96414	0.016297										
	285	0.96277	0.01393	0.96468	0.016119										
	286	0.96337	0.013768	0.96521	0.015944										
	287	0.96397	0.013609	0.96573	0.01577										
	288	0.96456	0.013451	0.96625	0.015598										
	289	0.96513	0.013294	0.96675	0.015427										
	290	0.9657	0.013139	0.96725	0.015258										
	291	0.96626	0.012986	0.96775	0.015091										
	292	0.96681	0.012834	0.96823	0.014926										
	293	0.96735	0.012684	0.96871	0.014762										
	294	0.96788	0.012535	0.96918	0.014599										
	295	0.9684	0.012388	0.96964	0.014439										
