!!SBtab	Document='MGluR' TableName='Reaction' TableType='Reaction' TableTitle='MGluR Reaction Fluxes' SBtabVersion='1.0'				
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
R61	ReactionFlux61	kf_61 * GqaGTP	0	Neuron	GqaGTP <=> GqaGDP
R62	ReactionFlux62	kf_62 * GqaGTP_PLC - kr_62 * GqaGTP * PLC	1	Neuron	GqaGTP_PLC <=> GqaGDP_PLC
R63	ReactionFlux63	kf_63 * GqaGDP * PLC - kr_63 * GqaGDP_PLC	1	Neuron	GqaGDP + PLC <=> GqaGDP_PLC
R64	ReactionFlux64	kf_64 * GqaGTP * PLC - kr_64 * GqaGTP_PLC	1	Neuron	GqaGTP + PLC <=> GqaGTP_PLC
R65	ReactionFlux65	kf_65 * PI - kr_65 * PIP	1	Neuron	PI <=> PIP
R66	ReactionFlux66	kf_66 * PIP - kr_66 * PIP2	1	Neuron	PIP <=> PIP2
R67	ReactionFlux67	kf_67 * PIP2	0	Neuron	PIP2 <=> IP3 + DAG
R68	ReactionFlux68	kf_68 * PIP2 * GqaGTP_PLC	0	Neuron	PIP2 + GqaGTP_PLC <=> IP3 + DAG + GqaGTP_PLC
R69	ReactionFlux69	kf_69 * PIP2 * KCNQ - kr_69 * PIP2_KCNQ	1	Neuron	PIP2 + KCNQ <=> PIP2_KCNQ
R70	ReactionFlux70	kf_70 * PIP2 * PH - kr_70 * PIP2_PH	1	Neuron	PIP2 + PH <=> PIP2_PH
R71	ReactionFlux71	kf_71 * IP3 * PH - kr_71 * IP3_PH	1	Neuron	IP3 + PH <=> IP3_PH
R72	ReactionFlux72	kf_72 * IP3	0	Neuron	IP3 <=> I
R73	ReactionFlux73	kf_73 * DAG	0	Neuron	DAG <=> PA
R74	ReactionFlux74	kf_74 * PA	0	Neuron	PA <=> CDPDAG
R75	ReactionFlux75	kf_75 * CDPDAG * I	0	Neuron	CDPDAG + I <=> PI
